German;English
coole Neuigkeiten.;cool news.
Ich werde demnächst auch sonntags arbeiten;I will also work on Sundays soon
Wie meinst du das?;What do you mean by that?
Wo wirst du sonntags arbeiten?;Where will you work on Sundays?
Kantine;cafeteria / canteen
Du freust dich gar nicht richtig.;You're not really happy about it.
Du bist so lieb!;You're so sweet!
Personalabteilung über die Sonntagsarbeit gesprochen.;talked to HR about Sunday work.
Vorgestern hat sie mich angerufen und gesagt;The day before yesterday she called me and said
Wochenenddienste gefunden;found weekend shifts
Du hast dich auch gekümmert.;You also took care of it.
Wie süß!;How sweet!
