German;English
verschiedene Süßigkeiten im Preis reduziert;various sweets reduced in price
gibt es herrlich frisches Obst zum halben Preis;there is wonderfully fresh fruit at half price
Sehr geehrte Fahrgäste;Dear passengers
bitte beachten Sie;please note
Wegen Bauarbeiten;Due to construction work
Wagen repariert und Sie können ihn abholen;car repaired and you can pick it up
Geschäft übermorgen;business the day after tomorrow
Freitag wegen unseres Betriebsausflugs geschlossen bleibt;will remain closed on Friday due to our company outing
Formulare für die Kundenkarte;forms for the customer card
bargeldlos einkaufen;to shop cashless
Sonderaktionen;special offers / promotions
von der Buchhandlung Burkard;from the Burkard bookstore
Bewerbungsunterlagen;application documents
Bewerbung als Buchhändlerin;application as a bookseller (female)
Vorstellungsgespräch einladen;to invite to a job interview
einen Termin vereinbaren;to make an appointment
