German;English
einmal überlegt;once thought about / considered
Wir haben nachgefragt.;We asked.
auf der Straße ganz spontan auf die Frage;on the street quite spontaneously to the question
gute Schulausbildung;good school education
unbedingt;absolutely / definitely
Realschulabschluss;secondary school certificate (intermediate level)
Abitur;university entrance qualification / high school diploma
das Leben genießen;to enjoy life
Meiner Meinung;in my opinion
sich die Dinge;things
ständig;constantly / continuously
mir sicher auch immer wichtig bleiben;will surely always remain important to me
persönliche Freiheit;personal freedom
selbst entscheiden;to decide for oneself
was ich tue und woran ich glaube;what I do and what I believe in
Maschinenbauer.;mechanical engineer.
zurzeit ist mir Erfolg im Beruf sehr wichtig;at the moment success in my career is very important to me
viel Geld verdienen;to earn a lot of money
Eigentumswohnung;condominium / apartment ownership
paar Jahren;a few years
andere Wünsche;other wishes
wer weiß;who knows
