German;English
Engagement und Mitbestimmung im öffentlichen Leben;commitment and participation in public life
Dazu haben wir vier Studiogäste.;We have four studio guests for this.
begrüße;welcome / greet
wo und warum Sie sich engagieren;where and why you are involved
kleinen Dorf;small village
der freiwilligen Feuerwehr aktiv;active in the volunteer fire department
Berufsfeuerwehr;professional fire department
wie in großen Städten geben;as they exist in big cities
ein Haus brennt;a house is on fire
es Hochwasser gibt;there is flooding
Außerdem;besides / furthermore
bei der freiwilligen Feuerwehr;in the volunteer fire department
Gemeinschaft;community
auf dem Dorfplatz auch immer ein großes Fest;also always a big festival on the village square
engagieren sich im Elternbeirat;are involved in the parents' council
Welche Aufgaben haben Sie da?;What tasks do you have there?
Schüler vertreten;to represent students
Dabei geht es um ganz verschiedene Themen;It's about very different topics
flexible Ferientage;flexible vacation days
Klassenfahrten;class trips
das Essen in der Schulmensa;the food in the school cafeteria
neue Lehrwerke;new textbooks
Elternwünsche;parents' wishes
die Schulleitung;the school management
Schulfeste und verschiedene Veranstaltungen;school festivals and various events
in der Schulpolitik mitbestimmen;to have a say in school policy
sicher zu viel gesagt;certainly said too much
eine beratende Funktion und die Schulleitung;a consultative function and the school management
daran;to that
unsere Meinung zu hören;to hear our opinion
im Ausländerbeirat von Unterrode aktiv;active in the foreigners' council of Unterrode
Wer macht da mit und was machen Sie da?;Who participates and what do you do there?
Einwohner von Unterrode aus acht Ländern;residents of Unterrode from eight countries
Wir beraten die Stadtverwaltung.;We advise the city administration.
Wir geben Anregungen zu Gemeindeaufgaben;We give suggestions on municipal tasks
die ausländische Einwohner betreffen;that concern foreign residents
die Integration zu fördern;to promote integration
die Interessen ausländischer Einwohner zu vertreten;to represent the interests of foreign residents
vor allem eine Diskriminierung zu verhindern;above all to prevent discrimination
engagiere ich mich ehrenamtlich in der Flüchtlingshilfe;I volunteer in refugee aid
viele Flüchtlinge in Deutschland ankamen;many refugees arrived in Germany
zunächst am Bahnhof geholfen;first helped at the train station
Wir haben Essen verteilt;We distributed food
die geflüchtet;those who fled
Anträge und Formulare auszufüllen;to fill out applications and forms
übersetze;translate
bei Arztbesuchen und Behördenterminen;at doctor's visits and appointments with authorities
ganz verschiedene Bereiche;very different areas
da engagieren;get involved there
