German;English
E-Mails checken;to check emails
Apps herunterladen;to download apps
Fotos posten;to post photos
E-Learning-Kurs teilnehmen;to participate in an e-learning course
Produkte bewerten;to rate products
das Passwort bestätigen;to confirm the password
Waren zurücksenden;to return goods
Kundenbewertungen lesen;to read customer reviews
eine Fortbildung machen;to do further training
ein Zertifikat bekommen;to get a certificate
den AGBs zustimmen;to agree to the terms and conditions
süchtig machen;to be addictive / to make addicted
das Handy ausschalten;to turn off the mobile phone
die Natur lieben;to love nature
