German;English
Wie geht es dir;How are you
beendet;finished / ended
Da arbeitest du doch;That's where you work, right
Einkaufsabteilung;purchasing department
bietet auch Ausbildungsplätze;also offers training positions
erzählen;to tell / to narrate
ein paar Tipps für die Bewerbung geben;to give a few tips for the application
gleich sagen;to say right away
dass es bei uns manchmal ziemlich stressig ist;that it can be quite stressful here sometimes
Obwohl;although / even though
das Betriebsklima;the work atmosphere
vor allem;above all / especially
wenn wir nicht pünktlich fertig werden;when we don't finish on time
sehr viel zu tun;a lot to do
gutes Zeichen;good sign
denn es zeigt;because it shows
dass die Firma gut läuft;that the company is doing well
Ausbildung;training / apprenticeship
Weißt du;Do you know
wie viele Auszubildende ihr pro Jahr habt;how many trainees you have per year
fangen bei uns acht Auszubildende;we take on eight trainees
sechs in der Verwaltung an;six in administration
was glaubst du;what do you think
wenn man sich bei euch bewirbt;if one applies at your company
die Schulnoten wichtig;school grades are important
gutes Bewerbungsschreiben;good cover letter
in dem du erklärst;in which you explain
Außerdem;besides / furthermore
du beim Bewerbungsgespräch einen guten Eindruck machen;you make a good impression at the job interview
eine Online-Bewerbung oder eine schriftliche Bewerbung;an online application or a written application
nur noch;only still / just
Wenn du willst;if you want
du solltest dich nicht nur bei der Firma bewerben;you should not only apply to this company
sondern auch bei anderen Firmen;but also at other companies
mehr Chancen;more chances / more opportunities
mehr Bewerber als freie Ausbildungsstellen;more applicants than open training positions
Danke für den Tipp;Thanks for the tip
ein Treffen finde ich eine gute Idee;I think a meeting is a good idea
wir uns übermorgen treffen;we'll meet the day after tomorrow
