German;English
Ihr glaubt nicht, was mir gerade passiert ist.;You won't believe what just happened to me.
heruntergefahren;driven down / pulled over
da kommt plötzlich ein Auto aus einer Einfahrt raus;suddenly a car comes out of a driveway
ohne zu gucken;without looking
fährt mir voll ins Auto;hits my car straight on
Ist dir was passiert?;Did something happen to you?
Hast du dich verletzt?;Did you get injured?
Zum Glück nicht;Luckily not
Nur mein Auto ist ziemlich kaputt;Only my car is pretty damaged
doch keine Schuld an dem Unfall;no fault of mine in the accident
Dann zahlt doch die Versicherung.;Then the insurance will pay.
das Ganze ist natürlich total nervig;the whole thing is naturally totally annoying
den Unfall aufgenommen;recorded the accident
Jetzt werden alle Informationen an die Versicherung geschickt;Now all information is sent to the insurance company
wie geht es jetzt weiter?;how does it continue now?
Die Versicherung meldet sich bei mir;The insurance company will contact me
den Wagen in die Werkstatt bringen;to take the car to the workshop
Dort wird der Schaden geschätzt.;The damage will be assessed there.
Was glaubst du, wie hoch der Schaden ist?;How much do you think the damage is?
hoffe einfach;just hope
das Auto bald repariert wird;that the car will be repaired soon
