German;English
Wie geht's dir denn;How are you then
Ganz gut;Pretty good
Zurzeit;currently / at the moment
ziemlich beschäftigt;quite busy / pretty busy
eine Fortbildung in „häuslicher Pflege“;further training in "home care"
eine Prüfung;an exam / a test
viele Vorteile;many advantages
Fortbildung gut verbinden;to combine further training well
alleine;alone / by oneself
Straßenbahn;tram / streetcar
Übungen auf meinem Tablet dabei;exercises on my tablet with me
Fernlehrer;distance learning teacher
Kursteilnehmern;course participants
Wir helfen uns gegenseitig;We help each other
Wie lange dauert der Kurs;How long does the course last
Das hängt von den Lernenden ab;That depends on the learners
Vorschläge;suggestions / proposals
das man bearbeiten soll;that one should work on
Dafür braucht man ungefähr 60 bis 90 Stunden;For that you need approximately 60 to 90 hours
Die Fortbildung ist anerkannt;The further training is recognized
Prüfung bestehe;pass the exam
