German;English
unsere Reihe „Wie war das eigentlich?“ fortsetzen;to continue our series "How was that actually?"
Zeitzeugen im Studio;contemporary witnesses in the studio
herzlich willkommen;warm welcome
Vielen Dank für die Einladung.;Thank you very much for the invitation.
vor dem Zweiten Weltkrieg in München zur Welt;born in Munich before the Second World War
noch an den Krieg erinnern;still remember the war
Manches vergesse;some things I forget
Es war eine schlimme Zeit;It was a terrible time
Meine Schwester und ich hatten oft Angst;My sister and I were often afraid
häufig hungrig ins Bett;often went to bed hungry
im Winter haben wir oft gefroren;in winter we were often cold
Am Ende des Krieges mussten wir München verlassen;At the end of the war we had to leave Munich
war zerstört;was destroyed
einem Dorf in der Nähe von München, gezogen.;moved to a village near Munich.
Wie sah Ihr Alltag als Kind aus?;What did your everyday life look like as a child?
waren hart;were hard
ich heute keiner mehr vorstellen;I can't imagine anyone today
wie das damals war;how it was back then
Es war viel kaputt;A lot was broken
trotzdem schöne Erinnerungen;still nice memories
zum Pilsensee;to Lake Pilsen
Sonntagnachmittag;Sunday afternoon
sehr gut backen;very good at baking
nach der Schule eine Lehre;an apprenticeship after school
das ging aus finanziellen Gründen nicht;that wasn't possible for financial reasons
eine kaufmännische Lehre in München begonnen;started a commercial apprenticeship in Munich
Wie waren damals die Arbeitszeiten?;What were the working hours like back then?
anfangs auch als Lehrling;at first as an apprentice too
Die Gewerkschaften;the trade unions
damals gefordert: „Samstags gehört Vati mir!“;demanded back then: "Saturday belongs to Daddy!"
Glück trotzdem noch ein bisschen Freizeit;fortunately still had a bit of free time
dabei kennengelernt;met during that time
wohnten wir beide noch bei unseren Eltern;we both still lived with our parents
zunächst;at first
Deshalb haben wir nicht gleich geheiratet;That's why we didn't get married right away
Die Mieten waren damals schon sehr hoch;Rents were already very high back then
wegen der vielen Flüchtlinge gab es kaum Wohnungen;because of the many refugees there were hardly any apartments
schließlich;finally
bei der Firma geblieben;stayed with the company
bis zur Rente;until retirement
gute Chefs und nette Kollegen;good bosses and nice colleagues
auch immer mehr verdient;also earned more and more
Das war herrlich.;That was wonderful.
Am Anfang;At the beginning
Hausfrau. Sie hat den Haushalt gemacht;housewife. She did the household chores
unsere Kinder erzogen;raised our children
als Sekretärin angefangen;started as a secretary
Ich genieße meinen Lebensabend!;I enjoy my retirement!
inzwischen Enkelkinder;now have grandchildren
Sonne morgen scheint;sun will shine tomorrow
wenn Sie so zurückschauen?;when you look back like that?
Hatten Sie ein glückliches Leben?;Did you have a happy life?
Wenn ich zurückschaue;When I look back
sehr zufrieden!;very satisfied!
sehr viel Glück im Leben.;a lot of luck in life.
