German;English
dass die Krawatte zu dem Anzug passt;that the tie matches the suit
damit du gut aussiehst;so that you look good
Bin ich nervös;I'm nervous / Am I nervous
Was meinst du;What do you think
Bewerbungsgespräch geübt;practiced for the job interview
vorbereitet;prepared
wenn du die Frage beantwortest;when you answer the question
was du besonders gut kannst;what you are particularly good at
Stärken;strengths
Einladungsbrief;invitation letter
am Empfang zeigen;to show at reception
Er war doch gerade noch hier auf dem Tisch;It was just here on the table
Entschuldige;Excuse me / Sorry
deine Tasche getan;put it in your bag
damit du ihn nicht vergisst;so that you don't forget it
bestellt;ordered
es kommt gleich;it will be here soon / it's coming right away
Rufst du mich an;Will you call me
wenn das Gespräch zu Ende ist;when the interview is over
