German;English
wie funktioniert eigentlich das politische System bei euch in Dänemark?;how does the political system actually work in Denmark?
Ihr habt doch eine Königin, regiert die Königin das Land?;You do have a queen, does the queen rule the country?
Die Königin hat vor allem repräsentative Aufgaben;The queen primarily has representative duties
Der eigentliche Regierungschef ist der Ministerpräsident;The actual head of government is the prime minister
wer entscheidet, wer Ministerpräsident wird?;who decides who becomes prime minister?
Er wird von der Königin ernannt.;He is appointed by the queen.
Der Ministerpräsident wird nicht gewählt?;The prime minister is not elected?
das Parlament im Großen und Ganzen einverstanden ist;if the parliament is broadly in agreement
Da müsste ich noch einmal nachlesen.;I would have to look that up again.
Unser Parlament heißt Folketing.;Our parliament is called Folketing.
gibt es viele verschiedene Parteien?;are there many different parties?
zurzeit;currently / at the moment
wie oft gibt es Wahlen?;how often are elections held?
Normalerweise alle vier Jahre.;Usually every four years.
