German;English
Was suchst du?;What are you looking for?
gucke;looking at / checking
internetfähigen Fernseher;internet-enabled TV / smart TV
Ja, Herzchen!;Yes, sweetheart!
eine gute Auswahl;a good selection
Du guckst doch auch gern Serien.;You like watching series too, don't you?
Der gefällt mir überhaupt richtig gut.;I really like that one a lot.
Er sieht ziemlich cool aus.;It looks pretty cool.
Wenn er nicht so teuer wäre, würde ich den nehmen.;If it weren't so expensive, I would take it.
Bildschirm;screen / display
So viel Platz haben wir auch wieder nicht.;We don't have that much space either.
Sag mal;tell me / say
