German;English
Dürfen wir uns zu Ihnen setzen?;May we sit with you?
Hier ist genug Platz.;There is enough space here.
Darf ich mich vorstellen?;May I introduce myself?
Freut mich sehr. Mein Name ist Urs Schiemann.;Very pleased. My name is Urs Schiemann.
eingezogen;moved in
Dort haben wir für eine;There we have for a
Besuch bei Freunden in Deutschland;visit to friends in Germany
längerer Aufenthalt;longer stay
ein kurzer Besuch;a short visit
Was ist denn bei uns anders als in Ihrer Heimat?;What is different here than in your home country?
Mir ist aufgefallen;I noticed
dass Hunde hier sehr viel dürfen;that dogs are allowed a lot here
die Leute sie überallhin mitnehmen;people take them everywhere
sogar in Restaurants!;even in restaurants!
Das ist in der Gegend in den USA;That is in the area in the USA
finde Hunde in Restaurants nicht hygienisch;I don't find dogs in restaurants hygienic
Sie haben Recht.;You are right.
Hunde viel zu viele Freiheiten haben und Hundebesitzer nicht immer gut auf ihre Hunde aufpassen;dogs have far too many freedoms and dog owners don't always look after their dogs well
viel Rücksicht auf Radfahrer nehmen;to show a lot of consideration for cyclists
Das habe ich oft beobachtet.;I have often observed that.
Ist mein Eindruck richtig?;Is my impression correct?
selbst Radfahrer;even cyclists
Ich bin trotzdem sehr beeindruckt;I am nevertheless very impressed
die Leute im Straßenverkehr nicht so viel Rücksicht aufeinander;people in traffic don't show as much consideration for each other
