German;English
unserer heutigen Sendung;our program today
die Gesundheit!;health!
obwohl;although / even though
langsamer als früher;slower than before
Wenn man Sport treibt;If you do sports
bewegt man sich und der Körper bleibt fit;you move and the body stays fit
ich sind ein gutes Beispiel dafür;I am a good example of that
was soll ich dazu sagen?;what should I say to that?
Leben lang nie regelmäßig Sport gemacht;never did sports regularly in my life
trotzdem war ich selten krank;nevertheless I was rarely sick
dass ich absolut fit bin;that I am absolutely fit
Vielleicht liegt es daran;maybe it's because of that
dass ich so ein glückliches Leben habe?;that I have such a happy life?
ich denke auch nicht viel darüber nach;I don't think much about it either
viele Dinge;many things
nur ein Teil davon;only one part of it
Ernährung;nutrition / diet
am Arbeitsplatz sollte es nicht zu viel Stress geben;at the workplace there shouldn't be too much stress
man muss Zeit finden, um sich zu entspannen;you need to find time to relax
nicht an die anderen Dinge denkt;doesn't think about other things
dann hilft der Sport auch nicht;then sports don't help either
um gesund zu bleiben;to stay healthy
dass man gesund bleibt?;that one stays healthy?
Da kann ich ja nur lachen.;I can only laugh at that.
Es gibt viele Beispiele dafür;There are many examples of that
dass Leute durch Sport krank werden;that people get sick from sports
im letzten Jahr;last year
weil er sich während eines Spiels ein Bein gebrochen hat;because he broke his leg during a game
immer wieder lese ich in der Zeitung;I keep reading in the newspaper
sogar bei Wanderungen zu schweren Unfällen kommt;even on hikes serious accidents occur
