German;English
froh;glad / happy
Geht es dir denn wieder besser?;Are you feeling better again?
Das Bein tut schon noch ein bisschen weh;The leg still hurts a little
seit letzter Woche kann ich sogar wieder ohne Gehhilfe laufen.;since last week I can even walk again without a walking aid.
Wie ist der Unfall eigentlich passiert?;How did the accident actually happen?
erinnern;to remember
Auf jeden Fall hat mich ein Rettungswagen in die Notaufnahme gebracht.;In any case, an ambulance took me to the emergency room.
ungefähr eine Stunde lang;for about an hour
meiner Krankheitsgeschichte gestellt;asked about my medical history
wurden Röntgenaufnahmen von meinem Bein gemacht;X-rays were taken of my leg
dass das Bein gebrochen war.;that the leg was broken.
Wurdest du dann sofort operiert?;Were you operated on immediately?
einen Gips bekommen;got a cast
mit Gehhilfen laufen;to walk with walking aids
Wann wurde der Gips abgemacht?;When was the cast removed?
Circa vier Wochen später.;About four weeks later.
eine Physiotherapie verschrieben;prescribed physical therapy
mit mir Übungen zur Stärkung der Muskulatur;did exercises with me to strengthen the muscles
Das hat mir gut getan.;That did me good.
wie war es im Krankenhaus?;how was it in the hospital?
in einem Dreibettzimmer gelegen;stayed in a three-bed room
Morgens war es meist ziemlich ruhig;In the mornings it was usually quite quiet
meine Bettnachbarn oft Besuch und dann war es laut;my bed neighbors often had visitors and then it was loud
Außerdem ist ein Patient entlassen worden;Besides, a patient was discharged
Da war es auch ziemlich hektisch;It was also quite hectic then
