German;English
erfuhr;learned / found out
ein Anerkennungsgesetz gibt;that there is a recognition law
ihren Berufsabschluss;her professional qualification
anerkennen lassen;to have it recognized
durch Qualifizierung vereinbart;agreed through qualification
Dort hat sie erfahren;There she learned
welche Unterlagen sie für die Anerkennung braucht;what documents she needs for the recognition
wie sie den Antrag stellen muss;how she must submit the application
Doch ihre Unterlagen wurden zunächst nicht angenommen;But her documents were not accepted at first
weil man als Krankenschwester;because as a nurse
Deutschkenntnisse auf dem Niveau B2 braucht;you need German skills at B2 level
Deshalb hat sie noch einen B2-Deutschkurs gemacht.;Therefore she also took a B2 German course.
Dann musste sie noch den Code of Conduct;Then she also had to get the Code of Conduct
eine Art internationales Führungszeugnis, besorgen.;a kind of international certificate of good conduct.
Das war gar nicht einfach, das Dokument von Interpol zu bekommen;That was not easy at all, to get the document from Interpol
sagt sie.;she says.
Dann ging aber alles ganz schnell.;But then everything went very quickly.
Anerkennungsbescheid;recognition certificate / approval notice
kurz danach fand sie eine Stelle als Krankenschwester.;shortly after she found a position as a nurse.
Nach der Probezeit bekam sie auch eine unbefristete Stelle;After the probationary period she also got a permanent position
froh, dass ich nicht aufgegeben habe.;glad that I didn't give up.
einen Anerkennungsantrag;a recognition application
vorlegen;to present / to submit
Ohne die Hilfe der Handwerkskammer hätte ich den Antrag nicht stellen können.;Without the help of the Chamber of Crafts I could not have submitted the application.
Fachgespräch;expert interview / technical discussion
Tischlerei nachweisen, dass er die Kenntnisse hat;to prove to the carpentry shop that he has the knowledge
Allerdings musste er noch einige Maschinenkurse belegen;However, he still had to take some machine courses
die volle Anerkennung zu bekommen.;to get full recognition.
Nachdem Herr Rifai;After Mr. Rifai
absolviert;completed
sehr schwere Zeit;very difficult time
Das Anerkennungsverfahren hat lange gedauert.;The recognition procedure took a long time.
Aber es hat sich gelohnt.;But it was worth it.
meinem Traumberuf in einem kleinen Tischlerbetrieb;my dream job in a small carpentry business

