German;English
nachlassend;decreasing / easing
Tiefstwerte sieben bis null Grad;minimum temperatures seven to zero degrees
vielfach stark bewölkt;often heavily cloudy
mit Schnee vermischt;mixed with snow
Höchstwerte;maximum temperatures
Die weiteren Aussichten;The further outlook
Regen im Süden;rain in the south
es trocken;it stays dry
einige Programminformationen;some program information
Nach den Nachrichten und den Kommentaren;After the news and the commentaries
eine Suchmeldung der Polizei;a police missing person report
vermisst;missing
einem Stadtbummel;a city stroll / walk around town
schlank;slim
kurze graue Haare und trägt eine Brille;short gray hair and wears glasses
blauen Anorak und einer dunklen Hose bekleidet;dressed in a blue anorak and dark trousers
Hinweise nimmt jede Polizeidienststelle entgegen;Any police station will accept information / tips
Verkehrsservice;traffic service
Vorsicht;caution / careful
Richtung Dinslaken liegen Gegenstände;in the direction of Dinslaken there are objects lying
folgende Staumeldungen;the following traffic jam reports
besteht nicht mehr;no longer exists / has been resolved
Abschluss unserer Sendung noch einige Veranstaltungshinweise;at the end of our program some event notices
