German;English
Besprechung;meeting / discussion
meine Mails zu checken;to check my emails
dabei;thereby / meanwhile / with it
beantworte;answer / reply
wenn wir wieder im Büro sind;when we are back in the office
heruntergeladen;downloaded
schaue jetzt häufiger im Zug die Bundesligaspiele an;I now watch Bundesliga games on the train more often
entscheiden;to decide
abonniert?;subscribed?
Da gibt es Nachrichten;There are news
eigentlich;actually / really
bequem Fußball oder Filme anschauen;to comfortably watch soccer or movies
Hier schau mal;Here look
Sieht toll aus;Looks great
Stimmt;That's right / True
Ihr wisst ja;you know
ziemlich;quite / fairly / rather
laden es gleich;will download it right away
lächeln;to smile
