German;English
Haben Sie uns gut gefunden?;Did you find us easily?
Die Wegbeschreibung;the directions
mit der Einladung zum Vorstellungsgespräch;with the invitation to the job interview
Obwohl;although / even though
noch nicht alle Ecken genau;not yet exactly all the corners
so angenehm ruhig;so pleasantly quiet
so viele Freizeitangebote gibt;there are so many leisure activities
Bewerbungsunterlagen gelesen;read the application documents
Heimatland eine abgeschlossene Ausbildung;a completed education in the home country
in der Hotelbranche und dort auch einige Jahre gearbeitet;in the hotel industry and worked there for several years
eine Berufsvorbereitung;a professional preparation / career preparation
ein vierwöchiges;a four-week
kleinen Hotel in Waldkirch;small hotel in Waldkirch
einen beruflichen Neustart bereit;ready for a professional new start
Vielleicht berichten Sie kurz über Ihre beruflichen Erfahrungen in Ihrem Heimatland.;Perhaps briefly tell us about your professional experience in your home country.
einem Touristenhotel am Meer;a tourist hotel by the sea
zuerst als Frühstücksassistentin später an der Rezeption.;first as a breakfast assistant later at the reception.
ein typisches Stadthotel für Geschäftsleute;a typical city hotel for business people
sehr viel mit Reservierungen und Abrechnungen zu tun;to have a lot to do with reservations and settlements
zur Empfangschefin befördert worden;was promoted to head receptionist (female)
die Verantwortung;the responsibility
die Dienstpläne zuständig;responsible for the duty rosters
Berufserfahrung;professional experience
übernachten viele Geschäftsleute;many business people stay overnight
nur wenige Tage bleiben;only stay for a few days
Das bedeutet;that means
immer wieder überraschende Situationen;always surprising situations
Beschwerden von Gästen;complaints from guests
anspruchsvoll;demanding / challenging
Können Sie damit umgehen;Can you deal with that
Schwierige;difficult ones
eine Herausforderung;a challenge
die Gesellschaft zu integrieren;to integrate into society
viele Dinge waren ganz neu für mich;many things were completely new for me
meine Familie waren weit weg;my family was far away
viele Regeln im Alltag;many rules in everyday life
Begrüßung;greeting
ich habe es geschafft;I made it
die Alltagsregeln;the everyday rules
Erfahrung;experience
die neue Arbeit zu gewöhnen;to get used to the new job
