German;English
Jetzt erzählen Sie mir vielleicht erst einmal etwas über sich selbst;Now perhaps first tell me something about yourself
in Ihrer Heimat eine Ausbildung;an apprenticeship / training in your home country
Bedienung;waiter/waitress / service / operation
Touristenführer;tour guide
weil ich eine Beratung über meine beruflichen Möglichkeiten brauche;because I need advice about my professional opportunities
mit den Händen und würde gerne eine Ausbildung im Handwerk;with my hands and would like to do an apprenticeship in a trade
ich bin nicht sicher;I'm not sure
ob mein Schulabschluss hier in Deutschland anerkannt wird;whether my school leaving certificate will be recognized here in Germany
die Zeugnisse sind schon übersetzt;the certificates are already translated
weiterschicken;to forward / to send on
wohin soll ich sie schicken?;where should I send them?
Alle Unterlagen werden an das Regierungspräsidium geschickt;All documents are sent to the government presidency
gibt es dafür ein Formular und dort steht genau;there is a form for that and there it says exactly
was Sie alles einreichen müssen;what all you need to submit
Außer;besides / apart from
eine Kopie Ihres Passes und Ihres Aufenthaltstitels mitschicken;to send a copy of your passport and residence permit with it
Ich schlage vor;I suggest
welchen Handwerksberuf;which trade profession
Noch nicht genau. Vielleicht Maurer?;Not exactly yet. Maybe bricklayer?
einer Baufirma;a construction company
sich zu orientieren;to orient oneself
Kontaktadressen;contact addresses
weiter verbessern;to improve further
