German;English
gerade bei der Sendung zugehört;was just listening to the program
Dann mach den Fernseher leiser!;Then turn down the TV volume!
noch in der Küche den Tisch abräumen;still need to clear the table in the kitchen
die Spülmaschine aus- und einräumen;to empty and load the dishwasher
die Einkäufe in den Schrank stellen und so weiter;to put the groceries in the cupboard and so on
Ich will mich jetzt ausruhen!;I want to rest now!
genau wie du!;just like you!
habe ich gebügelt;I ironed
die Wäsche aufgehängt, staubgesaugt;hung up the laundry, vacuumed
den Müll weggebracht;took out the trash
die Kinder aus der Kita abgeholt;picked up the children from daycare
Du räumst;you clear / you tidy up
die Wäsche in den Schrank legen;to put the laundry in the closet
morgen Vormittag;tomorrow morning
Geburtstagsgeschenk;birthday gift / birthday present
