German;English
eigene Aufgaben;own tasks / responsibilities
mittlerweile schon ziemlich selbstständig;already quite independent by now
Vor einigen Monaten;a few months ago
die erste wichtige Prüfung;the first important exam
die Zwischenprüfung;the intermediate exam
auch Aufgaben mit mehr Verantwortung;also tasks with more responsibility
Momentan bin ich Leiter eines Projekts;Currently I am a project leader
veranstalten Schulungen;organize / hold training sessions
Dafür muss ich geeignete Schulungsorte finden;For that I need to find suitable training locations
das Programm der Veranstaltungen;the program of the events
Das klingt interessant;That sounds interesting
das selbstständige Organisieren;independent organizing
Welchen Schulabschluss braucht man für die Ausbildung;What school leaving certificate do you need for the training
die Mittlere Reife genug;the intermediate school leaving certificate is enough
lieber Auszubildende mit Abitur;prefer trainees with Abitur (university entrance qualification)
hatte keine Lust zu studieren;didn't feel like studying / didn't want to go to university
Welche Kompetenzen;Which competencies / skills
Außerdem;besides / furthermore
Abschlussprüfung;final exam
Was willst du nach der Ausbildung machen;What do you want to do after the training
dass Jedox mich übernimmt;that Jedox will take me on (hire me permanently)
Jedox ist sehr erfolgreich;Jedox is very successful
gute Karrieremöglichkeiten bietet;offers good career opportunities
vielen Dank für das Gespräch;thank you very much for the conversation
