German;English
Anerkennung ausländischer Berufsqualifikationen;recognition of foreign professional qualifications
eine Stelle als Hebamme;a position as a midwife
zunächst;at first / initially
Bereits vor der B1-Prüfung bewarb;already applied before the B1 exam
war enttäuscht, dass sie nur Absagen bekam.;was disappointed that she only received rejections.
Ich dachte;I thought
das war leider nicht so einfach;that was unfortunately not so easy
mein Abschluss wurde hier nicht anerkannt.;my qualification was not recognized here.
Obwohl in Deutschland Fachkräfte in der Pflege;Although skilled workers are needed in Germany in nursing
anderen Bereichen gesucht werden;and other areas are sought
nicht so leicht;not so easy
ausländische Berufsabschlüsse;foreign professional qualifications
Erfahrung;experience
Dort habe ich Asyl beantragt.;There I applied for asylum.
keine Arbeitserlaubnis;no work permit
wusste nicht;didn't know
es weitergeht;how things continue
mein Asylantrag genehmigt worden war;my asylum application had been approved
Arbeitserlaubnis bekam;got a work permit
Beruf als Tischler;profession as a carpenter
enttäuschend;disappointing
ohne Gesellenbrief;without a journeyman's certificate
anerkannten Berufsabschluss;recognized professional qualification
