German;English
Wir sollten ...;We should ...
Das finde ich nicht so gut;I don't think that's so good
Ich finde es besser, wenn ...;I think it's better if ...
Das ist eine gute Idee.;That is a good idea.
Ich denke, dass das nicht so gut ist. Wir sollten lieber ...;I think that's not so good. We should rather ...
Das finde ich nicht so gut.;I don't think that's so good.
Wir können vielleicht auch ...;We can also perhaps ...
Ja, so machen wir es ...;Yes, let's do it that way ...
Nein, da habe ich eine andere Meinung. Ich möchte lieber ...;No, I have a different opinion on that. I would rather ...
Wie findest du ...?;What do you think of ...?
Einverstanden.;Agreed.
Das finde ich auch.;I think so too.
