German;English
Was machst du da;What are you doing there
die Fotos aus unserem letzten Urlaub an;the photos from our last vacation
schau mal hier;look here
das fast immer geschlossen war;that was almost always closed
Das ist der Strand;That's the beach
der so toll war;that was so great
der Sand war so weiß und sauber;the sand was so white and clean
Das sind die Nachbarn;Those are the neighbors
es war wirklich ein schöner Urlaub;it was really a nice vacation
dieses Jahr auch wieder ans Meer;to the sea again this year too
Ich würde auch gerne einmal die Türkei kennenlernen;I would also like to get to know Turkey sometime
nicht einen Strandurlaub in der Türkei buchen;book a beach vacation in Turkey
Am liebsten gleich heute, nach dem Einkaufen;Preferably today, after shopping




