German;English
gerade einen Computerkurs;just (doing/taking) a computer course
Warum haben Sie den Kurs angefangen;Why did you start the course
ich kenne Word;I know Word
unsere Produkte vorstellen;to present our products
bessere Chancen bei meiner Arbeit;better opportunities at my work
das auch schon alleine probiert;also already tried that alone
aber das war kompliziert;but that was complicated
das viel einfacher und geht schneller;that's much easier and faster
es sind ja nur acht Termine;it's only eight sessions
Die anderen Teilnehmer sind auch nett;The other participants are also nice
manchmal gehen wir danach noch zusammen in eine Kneipe;sometimes we go to a pub together afterwards
