German;English
herzlich willkommen zu unserer Sendung „Migranten in Deutschland“;welcome to our program "Migrants in Germany"
welche Erfahrungen haben Sie bei der Arbeitssuche gemacht;what experiences have you had in your job search
viele Bewerbungen geschrieben und die Antwort war immer negativ;wrote many applications and the answer was always negative
bei mir in der Straße einen Aushang gesehen;saw a notice on my street
mit der Chefin gesprochen und jetzt arbeite ich dort;spoke with the boss and now I work there
in meiner Heimat;in my homeland
auf einem Bauernhof, in der Landwirtschaft;on a farm, in agriculture
ein Praktikum als Gärtner gemacht;did an internship as a gardener
dort einen richtigen Arbeitsplatz bekommen;got a real job there
seinem Chef erzählt, dass ich Arbeit suche;told his boss that I am looking for work
dann auch mit dem Chef gesprochen;then also spoke with the boss
am nächsten Tag als Kellner anfangen;start as a waiter the next day
