German;English
eine Waschmaschine;a washing machine
Was können Sie empfehlen;what can you recommend
viele verschiedene Typen;many different types
eine Maschine mit viel Platz;a machine with plenty of space
8 kg Wäsche auf einmal waschen;to wash 8 kg of laundry at once
Ein anderer Vorteil ist;another advantage is
dass es fünf Jahre Garantie gibt;that there is a five-year warranty
Aber der Preis ist ein Nachteil;but the price is a disadvantage
sehr hoch;very high
so viel Wäsche habe ich nicht;I don't have that much laundry
mit dieser Waschmaschine;with this washing machine
weniger Platz und nur zwei Jahre Garantie;less space and only two years warranty
Das macht nichts;that doesn't matter
die Garantiezeit ist für mich in Ordnung;the warranty period is fine for me
dass sie genauso energiesparend ist wie die andere Maschine;that it is just as energy-saving as the other machine
Der Energieverbrauch;the energy consumption
Ihnen die Maschine nach Hause liefern;to deliver the machine to your home
nicht selbst transportieren;not transport it yourself
