German;English
Erzähl doch mal;Tell me then
Wie bist du denn dorthin gekommen;How did you get there
Du weißt ja;You know
dass ich beruflich viel reise;that I travel a lot for work
immer in den Norden;always to the north
da war ich letzten Freitag auch;I was there last Friday too
in der Nähe von Oldenburg;near Oldenburg
spät zurückgefahren;drove back late
In Münster;In Münster
der Zug dann einen langen Aufenthalt;the train then had a long stop
ich weiß nicht genau, warum, ein Problem mit den Signalen oder so;I don't know exactly why, a problem with the signals or something
ausgestiegen und habe eine Zigarette geraucht;got out and smoked a cigarette
immer noch nicht aufgehört mit dem Rauchen;still haven't quit smoking
Ach so halb;Oh, so so
aber wenn ich Stress habe;but when I'm stressed
dann rauche ich gerne noch eine;then I like to have another one
aber jedenfalls stehe ich da so auf dem Bahnsteig und sehe ein Plakat;but anyway I'm standing there on the platform and I see a poster
eine Deutschlandtournee;a Germany tour
träume schon von einer Karte in der ersten Reihe;already dreaming of a ticket in the front row
da höre ich einen Pfiff hinter mir;then I hear a whistle behind me
drehe mich um, die Türen geschlossen und der Zug fährt los;I turn around, the doors are closed and the train departs
Mit meiner Tasche, mit meinem Portemonnaie, mit allem, was ich dabeihabe;With my bag, with my wallet, with everything I have with me
Es war kurz nach eins in der Nacht;It was shortly after one in the night
Der Bahnhof geschlossen, nichts los;The station was closed, nothing going on


