German;English
gewählt;chosen, selected
Hähnchen mit Reis und Gemüse;chicken with rice and vegetables
Kartoffelsuppe;potato soup
die Spaghetti mit Basilikum Pesto und Tomaten;the spaghetti with basil pesto and tomatoes
Weißwein;white wine
Apfelsaft;apple juice
ich möchte gern;I would like
einen Tisch reservieren;to reserve a table
ist da noch etwas frei?;is there still something free?
Gegen 19 Uhr;Around 7 PM
das tut mir leid;I'm sorry
Passt Ihnen das;Does that work for you (formal)
sofort;immediately
Zahlen Sie getrennt oder zusammen;Are you paying separately or together (formal)
