German;English
Prüfungsvorbereitung;exam preparation
Was kann ich für Sie tun;what can I do for you
Halsschmerzen;sore throat
besten;best (short for "am besten" / best)
vielleicht in einer Stunde;maybe in an hour
Tut mir leid;I'm sorry
Das Wartezimmer ist sehr voll;the waiting room is very full
Ich sehe gerade, dass ich da auch schon Patienten eingetragen habe;I see that I've already scheduled patients for that time as well
auch eine halbe Stunde später;also half an hour later
wenn es sein muss;if it must be
