German;English
Deshalb;Therefore
sollte etwas zur Entspannung tun;should do something to relax
noch andere Beschwerden?;any other complaints?
Manchmal schlafe ich die ganze Nacht nicht.;Sometimes I don't sleep the whole night.
untersuchen lassen;have (it) examined
Blutwerte in Ordnung?;blood values okay?
Du solltest Urlaub machen!;You should take a vacation!
wirklich gesagt, dass Tai-Chi hilft?;really said that Tai-Chi helps?
geübt;practiced
regelmäßig zu Hause;regularly at home
Nebenwirkungen;side effects
