German;English
für einen Kurs bei Ihnen;for a course at your place
Lkw-Führerschein;truck driver's license
dafür brauche ich einen Führerschein Klasse B;for that I need a class B driver's license
in der Fahrschule hat man mir gesagt;at the driving school they told me
dass der Kurs, den ich dafür gemacht habe, nicht genug ist;that the course I took for that is not enough
einen Erste-Hilfe-Kurs mit 8 Doppelstunden;a first aid course with 8 double lessons
Der Kurs hat 16 Unterrichtsstunden zu je 45 Minuten;The course has 16 lessons of 45 minutes each
Er findet an zwei Tagen statt;It takes place over two days
Wann kann ich anfangen;When can I start
auch bald den Führerschein machen;will also get my driver's license soon
Wissen Sie, ich möchte mich bei Speditionen um eine Arbeit als Lkw-Fahrer bewerben;You know, I would like to apply to freight companies for work as a truck driver
laufend Kurse;courses running continuously
das möchte ich gerne machen;I would like to do that
Wie kann ich mich anmelden;How can I register
sich im Internet anmelden, gehen Sie auf die Seite;register online, go to the website
dann klicken Sie auf Anmeldung und dann kommen Sie zum Anmeldeformular;then click on registration and then you get to the registration form
auch bei uns vorbeikommen;can also come by our place
Montags bis freitags zwischen neun und achtzehn Uhr;Monday to Friday between nine and six o'clock
Gern geschehen;You're welcome
