German;English
Hotelfachfrau;hotel specialist (female)
arbeite an der Rezeption;work at the reception
Später will ich ein Fachstudium machen und Hotelmanagerin werden;later I want to do a specialized study program and become a hotel manager
Auszubildender und will Koch werden;trainee and wants to become a cook
Meine Ausbildung dauert drei Jahre;my training lasts three years
Dort lerne ich die Theorie;there I learn the theory
Dreimal pro Woche;three times a week
arbeite ich in der Hotelküche;I work in the hotel kitchen
Praxis;practice
räume die Gästezimmer auf;I clean the guest rooms
Eigentlich;actually
nur ein Nebenjob;only a part-time job
Zimmerpersonal arbeiten viele Mitarbeiter ohne Ausbildung;many employees without training work in housekeeping
eine Ausbildung zum Hotelfachmann gemacht;did training as a hotel specialist (male)
fünf Jahre in verschiedenen Hotels gearbeitet;worked for five years in various hotels
mein Fachstudium beendet;finished my specialized study program
