German;English
zwei Gäste in unserem Magazin;two guests on our magazine
das gesunde Leben;the healthy life
bitte erzählen Sie uns;please tell us
was Sie für Ihre Gesundheit tun;what you do for your health
sehr viel Stress;a lot of stress
war unsicher;was uncertain
mir Sorgen;worried me
wie es weitergeht;how things continue
Das war nicht gut für meine Gesundheit;That was not good for my health
keine Zeit gehabt für meine Familie, für gute Ernährung;had no time for my family, for good nutrition
immer schnell zwischendurch Fastfood gegessen;always ate fast food quickly in between
zugenommen;gained weight
gesagt, so geht es nicht, wenn du so weitermachst;said, this won't work, if you continue like this
machst du dir deine Gesundheit kaputt;you'll ruin your health
etwas für deine Gesundheit tun;do something for your health
mit dem Laufen angefangen;started running
Das hat mir gut getan;That was good for me
sogar beim Marathon mitgelaufen;even ran in a marathon
keine gute Zeit, aber ich habe es geschafft;not a good time, but I made it
Jetzt bin ich fit und ich fühle mich richtig gut;Now I am fit and I feel really good
was machen Sie für Ihre Gesundheit?;what do you do for your health?
Früher habe ich in der Stadt gewohnt;I used to live in the city
da war es laut und die Luft war schlecht;there it was loud and the air was bad
oft schlecht geschlafen;often slept badly
nicht gut für meine Gesundheit;not good for my health
auf dem Land;in the countryside
im Wald spazieren gehen;to go for walks in the forest
die Luft ist gut, es ist ruhig;the air is good, it's quiet
kein Fitnesscenter;no fitness center
wenn ich trainieren möchte und fit bleiben möchte;when I want to exercise and stay fit
das macht mir Spaß und ist gut für meine Gesundheit;I enjoy that and it's good for my health



