German;English
Ihr Bankberater;Your bank advisor
dass Sie fünf Minuten warten mussten;that you had to wait five minutes
Das macht nichts;That doesn't matter
ein Girokonto eröffnen;to open a current account
verschiedene Angebote;various offers
Wofür brauchen Sie das Konto;What do you need the account for
ein Privatkonto oder ein Geschäftskonto;a personal account or a business account
für mein Gehalt, die Miete und so weiter;for my salary, the rent and so on
Dann empfehle ich Ihnen unser Giro+;Then I recommend our Giro+ to you
Es kostet 4 Euro im Monat plus Gebühren;It costs 4 euros per month plus fees
Wofür muss ich Gebühren bezahlen;What do I have to pay fees for
eine Kreditkarte oder eine zweite EC-Karte;a credit card or a second debit card
Alle Buchungen, also zum Beispiel Einzahlungen, Auszahlungen und Überweisungen, sind kostenlos;All transactions, such as deposits, withdrawals and transfers, are free
das passt;that works
auch eine EC-Karte;also a debit card
Mit der EC-Karte können Sie bargeldlos bezahlen und in allen Ländern weltweit Geld abheben;With the debit card you can pay cashlessly and withdraw money in all countries worldwide
nicht nur an unseren Geldautomaten;not only at our ATMs
wann bekomme ich die EC-Karte;when will I get the debit card
Das dauert ungefähr zwei Wochen;That takes about two weeks
Sie kommt per Post;It comes by mail
Auch die PIN bekommen Sie per Post, aber separat;You will also receive the PIN by mail, but separately
die Geheimnummer für den Geldautomaten oder für bargeldlose Zahlungen;the secret number for the ATM or for cashless payments
Erst dann kann ich das Konto benutzen?;Only then can I use the account?
natürlich ab sofort hier am Schalter Geld einzahlen und abheben;of course, you can deposit and withdraw money here at the counter from now on
Noch eine letzte Frage;One last question
das ist möglich;that is possible
