German;English
Ich würde euch gern etwas fragen;I would like to ask you something
eine spannende Stellenanzeige im Internet gefunden;found an exciting job advertisement on the internet
sucht jemanden für ihr Team;is looking for someone for their team
einen Online-Shop aufbauen;to set up an online shop
Ich bin Teamarbeit nicht gewohnt;I'm not used to teamwork
Ich weiß nicht, ob ich das kann;I don't know if I can do it
es versuchen;try it
Du bist doch jung und flexibel;You are young and flexible after all
viel Erfahrung mit Online-Shops;a lot of experience with online shops
Man gründet eine Firma, baut sie auf und verkauft sie dann teuer;You found a company, build it up and then sell it at a high price
würde einfach gern mehr Zeit für meine Familie haben;would just like to have more time for my family
Als Angestellter ist das einfacher, denke ich;As an employee it's easier, I think
Ich möchte nicht mehr jedes Wochenende arbeiten;I don't want to work every weekend anymore
Eine eigene Firma ist nur Stress;Owning your own company is just stress
hast du dich schon beworben;have you already applied
noch meinen Lebenslauf schreiben;still need to write my CV
Bewerbungsfoto habe ich auch noch nicht;I don't have an application photo yet either
Ich weiß ja auch gar nicht, ob die Stelle noch frei ist;I don't even know if the position is still available
Warum rufst du nicht schon mal in der Firma an?;Why don't you call the company in advance?
Fragen kostet doch nichts;Asking costs nothing after all
