German;English
wie gehts?;how are you?
in den nächsten zwei Wochen;in the next two weeks
bekomme ich kein gutes Abschlusszeugnis;I won't get a good leaving certificate
Ausbildung nicht anfangen;can't start training
Was willst du denn machen;what do you want to do then
will eine Ausbildung als Industriemechaniker machen;want to do an apprenticeship as an industrial mechanic
gute Noten;good grades
Wenn ich in Technik eine Drei habe;if I have a three in technical studies
bekomme ich die Stelle nicht;I won't get the position
in der letzten Technikarbeit;in the last technical studies test
nur eine Vier geschrieben;only got a four
doch normalerweise gut in Technik;but usually good in technical studies
Was war denn los;what was the matter then
keine Zeit für die Schule;no time for school
immer Fußball;always football/soccer
Meine Eltern waren sauer;my parents were angry
auch wieder eine Zwei schreiben;also write a two again
eine Vier bis Fünf;a four or five
Wenn du willst;if you want
Vielleicht;maybe
Mathe helfen;to help with math
verstehe das oft nicht so gut;often don't understand it that well
du bist ja super, das weiß ich;you're great, I know that
Mathearbeit;math test
Mindestens eine Drei;at least a three
besser eine Zwei;better a two
in den Ferien Nachhilfe machen;to do tutoring during the holidays
Das will ich nicht;I don't want that
Wann fangen wir an;when do we start

