German;English
ziehen hier bald ein;moving in here soon
die weiße Farbe an den Wänden gefällt uns nicht;we don't like the white color on the walls
eine Farbe aussuchen;to choose a color
Blau gefällt mir nicht, aber vielleicht Gelb oder Orange;I don't like blue, but maybe yellow or orange
Wenn wir die Arbeiten anfangen;when we start the work
an der Wand zuerst Probeanstriche machen;make test paintings on the wall first
Einverstanden.;Agreed.
Wie teuer sind die Arbeiten?;How much are the jobs/work?
Ihnen noch ein genaues Angebot;a precise estimate for you
wie lange dauert das;how long does that take
