German;English
Herzlich willkommen zu unserem Elternabend;Welcome to our parents' evening
Es ist wirklich schön, dass Sie Zeit haben;it's really nice that you have time
erst einmal ein paar Informationen für Sie;first of all some information for you
eine Liste für Sie;a list for you
welche Bücher, Hefte und Stifte;which books, exercise books and pens
die Kopien herum, alle brauchen eine Kopie;the copies around, everyone needs a copy
sammeln wir 20 Euro pro Jahr ein;we collect 20 euros per year
Davon bezahlen wir kleine Ausflüge, wenn wir z.B.;with that we pay for small trips, when we, for example,
oder eine Wanderung;or a hike
Die Kontonummer steht auch auf der Kopie;the account number is also on the copy
bestimmt auch Fragen;certainly also questions
Gibt es eine Klassenfahrt;is there a class trip
Wenn ja, wann machen Sie die Klassenfahrt;if yes, when will you do the class trip
Und wie teuer ist das;and how expensive is that
Das kostet so ungefähr 200-250 Euro pro Fahrt;that costs approximately 200-250 euros per trip
mitmachen;to take part
teilnehmen;to participate
sie dürfen die Handys mitnehmen;they are allowed to take the mobile phones
die Handys und andere elektronische Geräte;the mobile phones and other electronic devices
ausschalten;to turn off
dieses Jahr Schwimmunterricht;swimming lessons this year
ersten Halbjahr Sport in der Turnhalle;first half of the year sports in the gym
beim Schwimmunterricht mitmache;take part in swimming lessons
Keine weiteren Fragen mehr;no further questions
