German;English
Meister, ich habe jetzt im Wohnzimmer alles abgeklebt;Master craftsman, I have now masked everything off in the living room
Können Sie mal kommen und schauen, ob das so in Ordnung ist;Can you come and see if that's okay like that
an den Fenstern;on the windows
an der Tür ganz gut gemacht;done quite well on the door
auch die Steckdosen abkleben;also mask off the electrical sockets
das mache ich gleich noch;I'll do that right away
noch Zeit bis morgen;still time until tomorrow
Jetzt sollten wir noch die Küche fertig lackieren;Now we should finish painting the kitchen


