German;English
für den Gesundheits-Check;for the health check-up
gesundheitliche Probleme?;health problems?
fühle mich ganz gesund;feel completely healthy
nur einmal alles kontrollieren lassen;just have everything checked once
sehr vernünftig;very sensible
da bezahlt die Krankenkasse;the health insurance pays for that
jetzt einmal abhören;now listen for a moment
den Oberkörper frei machen;bare the upper body
alles in Ordnung;everything is fine
Mit dem Rücken haben Sie keine Probleme?;You don't have any problems with your back?
ins Fitnesscenter gehen;go to the fitness center
fühle mich ganz fit;feel quite fit
Wie ist das Ergebnis der Laboruntersuchung?;What is the result of the lab test?
der Urin ist in Ordnung;the urine is fine
der Blutdruck und die Blutwerte auch;blood pressure and blood values are also fine
die Cholesterinwerte sind zu hoch;the cholesterol levels are too high
Aber das hat nicht geholfen;But that didn't help
das einmal untersuchen lassen;have that examined once
Ihnen eine Überweisung zum Facharzt;a referral to a specialist for you
