German;English
damit ich die Miete für mich und meine Tochter zahlen kann;so that I can pay the rent for me and my daughter
warten auf bessere Zeiten;waiting for better times
Du hast eine Tochter?;You have a daughter?
noch ganz klein;still very small
Deshalb bin ich auch noch nicht mit dem Studium fertig;That's why I haven't finished my studies yet
einfach keine Zeit;simply no time
das Studium interessiert mich auch nicht mehr so sehr;I'm not that interested in studying anymore either
Was möchtest du denn am liebsten machen?;What would you most like to do?
Am liebsten?;Most of all?
Ich träume von einem eigenen Tanzstudio;I dream of my own dance studio
Mit Tanzkursen für Anfänger und vielleicht mit einem kleinen Café;With dance courses for beginners and maybe a small café
aber ohne Geld ist das schwierig;but without money it's difficult
eine Fortbildung machen;to do further training
damit ich mehr über Buchhaltung und so etwas lerne;so that I learn more about accounting and such
dich auch über Möglichkeiten für Förderungen informieren;also inform you about possibilities for funding
einen sympathischen Geschäftspartner mit viel Geld;a nice business partner with a lot of money
Ich denke da zum Beispiel an dich;I'm thinking of you, for example
