German;English
Mitglied in einem Verein;member in a club
die Vereine sind ganz wichtig;the clubs are very important
der nicht in einem Verein ist;who is not in a club
Erzählen Sie doch bitte, in welchen Vereinen sind Sie;Please tell me, which clubs are you in
regelmäßig eine Gymnastikgruppe für Frauen;regularly a gymnastics group for women
deshalb bin ich im Turnverein;that's why I'm in the gymnastics club
als Familie auch im Fußballverein;as a family also in the football club
ich bin da auch ehrenamtlich als Trainer für eine Kindermannschaft;I also volunteer there as a coach for a children's team
mein Sohn ist auch im Musikschulverein;my son is also in the music school association
er spielt Gitarre und hat in der Musikschule Unterricht;he plays guitar and has lessons at the music school
außerdem sind wir im Karnevalsverein;besides, we are in the carnival club
Ich weiß auch nicht warum;I don't know why either
wir haben gerne Karneval gefeiert;we liked to celebrate carnival
da bin ich in den Verein eingetreten;that's why I joined the club
jetzt waren wir schon lange nicht mehr da;now we haven't been there for a long time
wir zahlen nur weiter unseren Mitgliedsbeitrag;we just keep paying our membership fee
