German;English
Alles Liebe zum Geburtstag;All the best for your birthday / Happy birthday
Herzlichen Glückwunsch;Congratulations
alles Gute für dein neues Lebensjahr;all the best for your new year of life
ihr mit mir feiert;you celebrate with me
Danke für die Einladung;Thank you for the invitation
ein sehr schönes Datum;a very nice date
Feierst du deinen Geburtstag denn noch mit deiner Familie;Do you also celebrate your birthday with your family
Das heißt;That means
mit ihren Männern;with their husbands
leider nicht;unfortunately not


