German;English
was kann ich für Sie tun;what can I do for you
einen Hin- und Rückflug;a round-trip flight
Ich schaue mal;I'll take a look
aber der ist ziemlich teuer;but it's quite expensive
die Firma bezahlt;the company pays
Es soll im Stadtzentrum liegen;It should be located in the city center
die Buchung machen;make the booking
einmal etwas langsamer;a bit slower please
eingeben;enter
Was kann ich für Sie tun;what can I do for you
eine kleine Ferienwohnung, die am Meer liegt;a small vacation apartment that is by the sea
hier einen Katalog mit Angeboten, die sehr günstig sind;here is a catalog with offers that are very affordable
einige Fotos mit Ferienwohnungen am Meer;some photos of vacation apartments by the sea
Darf ich mal sehen;May I have a look
diese Wohnung gefällt mir;I like this apartment
Ferienwohnung;vacation apartment
Das klingt gut;That sounds good
eigentlich ein Visum;actually a visa
Reisepass oder einen Ausweis;passport or an ID card
nur einen Reisepass oder einen Ausweis, der noch drei Monate gültig ist, aber kein Visum;only a passport or an ID card that is still valid for three months, but no visa
mit den Pässen ohne Visum fliegen;to fly with passports without a visa




