German;English
im Moment nur in der vierten Klasse Unterricht;at the moment only teaching fourth grade
warum bist du hier;why are you here
Für einen Elternabend ist es noch ein bisschen früh;it's still a bit early for a parents' evening
immer viel erzählt, wenn wir zusammen waren;always talked a lot when we were together
vergisst alles - und sie hat keine Lust;forgets everything - and she has no desire
in der letzten Zeit einfach ... komisch;lately simply ... strange
das nächste Zeugnis;the next report card
unbedingt, dass Melia aufs Gymnasium geht;absolutely essential that Melia goes to grammar school
ihre Noten einfach nicht mehr so gut wie früher;her grades just not as good as before
Realschule;intermediate secondary school
wenn Melia gerade eine schwierige Zeit hat, dann sind andere Dinge im Moment vielleicht wichtiger als die Schule und gute Noten;if Melia is going through a difficult time right now, then other things may be more important than school and good grades at the moment
Weißt du, ich hätte wirklich gern mehr Zeit für sie;you know, I would really like to have more time for her
