German;English
Immer erreichbar;Always reachable
Das ist möglich, aber wollen wir das;That is possible, but do we want that
Das diskutieren wir heute mit unseren Studiogästen;We are discussing this today with our studio guests
Herzlich willkommen;Welcome
Übersetzer;translator
recherchiere und benutze auch manchmal die Online-Wörterbücher;I research and sometimes also use online dictionaries
überall hinfahren;to drive everywhere
weil der Kontakt per E-Mail unkompliziert ist;because contact by email is uncomplicated
dann verliere ich keine Zeit;then I don't lose any time
das nicht möglich;that not possible
anderen Städten;other cities
Rentnerin;retiree (female)
Erzieherin;educator (female)
gebraucht;used, needed
vielen Kindergärten;many kindergartens
vorgelesen;read aloud
es wunderbar;it wonderful
kaufe gerne online ein;I like to shop online
das Leben viel langweiliger;life much more boring
bist hier am jüngsten, gerade 16 Jahre alt;you are the youngest here, just 16 years old
Nachrichten schicken;to send messages
alles halt;everything, you know
oft etwas;often something
Ohne Internet;Without the internet
die Katastrophe, weil ich dann keinen Kontakt mit meinen Freunden haben kann;the catastrophe, because then I can't have contact with my friends





