German;English
damit habe ich alle persönlichen Daten notiert;with that I have noted all the personal data
Außerdem möchte ich gerne wissen;Furthermore I would like to know
welche Medikamente Sie regelmäßig nehmen müssen;which medications you have to take regularly
das Herzmittel Cardion, weil ich ein schwaches Herz habe;the heart medication Cardion, because I have a weak heart
wie viele Tabletten jedes Mal;how many tablets each time
schon einmal operiert;have you ever had surgery
nach einem Autounfall eine Operation an der Hand;had surgery on my hand after a car accident
Darf ich mal sehen;may I have a look
die Narbe ist ziemlich groß;the scar is quite large
da manchmal Schmerzen;pain there sometimes
zum Glück nicht;fortunately not
