German;English
berate die Kunden;advise the customers
viel über das Material der Möbel;a lot about the furniture material
die verschiedenen Holzsorten, weiß ich;the different types of wood, I know
geduldig sein;to be patient
denn viele Kunden brauchen sehr lange;because many customers take a very long time
oder ihr Schlafzimmer auszusuchen;or to choose their bedroom
auch noch nach Ladenschluss im Geschäft bleiben;also stay in the shop after closing time
um mit den Kunden die Möbel zu finden, die ihnen gefallen;to find the furniture that they like with the customers
auch die Kleidung wichtig;the clothing is also important
Bei der Arbeit trage ich immer Anzug und Krawatte;At work I always wear a suit and tie
