German;English
Max untersuchen lassen;to have Max examined
So, genau;There we go, exactly
nächste Vorsorgeuntersuchung;next preventive check-up
den Vorsorgepass dabei;have the preventive care record with you
dann fangen wir mit den Augen an;then we'll start with the eyes
was du auf dem Bild siehst;what you see in the picture
Der Junge spielt Ball.;The boy is playing ball.
Ganz toll;Very good
noch in deinen Hals gucken;look into your throat as well
Mach mal den Mund auf;Open your mouth
Alles in Ordnung;Everything is fine
dir ein Spielzeug aus der Dose nehmen;take a toy from the box for you
beraten lassen;to get advice
Was meinen Sie, ist es besser, wenn wir Max gegen Grippe impfen lassen?;What do you think, is it better if we have Max vaccinated against the flu?




