German;English
Ihre Anzeige in der Zeitung gelesen;read your advertisement in the newspaper
Ich interessiere mich für Ihre Stelle als Fahrer;I am interested in your position as a driver
Ist die Stelle noch frei;Is the position still available
Bekommt man einen festen Stundenlohn?;Do you get a fixed hourly wage?
wie sind die Arbeitszeiten;what are the working hours
Ich möchte gerne halbtags arbeiten;I would like to work part-time
Ist das möglich;Is that possible
Vielen Dank für das interessante Gespräch;Thank you very much for the interesting conversation



