German;English
Kann ich Ihnen helfen;Can I help you
suche eine deutsche Grammatik mit Übungen;(I'm) looking for a German grammar book with exercises
Für welches Niveau soll die Grammatik sein;What level should the grammar book be for
mit vielen Übungen, auch mit Sprechübungen;with many exercises, also with speaking exercises
da muss ich schauen;I'll have to check
Leider ist im Moment keine mehr da;Unfortunately there are none in stock at the moment
Ich muss sie bestellen;I'll have to order it
Hat die Grammatik auch Lösungen;Does the grammar book also have answer keys
die müssen Sie nicht extra kaufen;you don't have to buy them separately
Die Lösungen finden Sie im Buch;You'll find the answer keys in the book
Wann ist die Grammatik da;When will the grammar book be available
