German;English
Du wolltest etwas sagen;You wanted to say something
die Nachbarn total wichtig;neighbors are totally important
Man hilft sich;People help each other
Das macht vieles einfacher;That makes many things easier
Ich fühle mich oft allein mit Sofia, dem Job und meinem Leben;I often feel alone with Sofia, my job and my life
das verstehe ich gut;I understand that well
eine Sendung im Fernsehen gesehen;saw a program on television
eine tolle Idee vorgestellt;presented a great idea
zwar gibt es Leihomas;there are "rental grandmothers" indeed
eine Art ehrenamtliches Engagement;a kind of voluntary commitment
Es gibt da einen Verein;There is a club for that
wie funktioniert das;how does that work
Ganz einfach;Very simple
Der Verein bringt junge Eltern zusammen mit älteren Menschen, die Familien oder jungen Müttern mit kleinen Kindern helfen möchten;The club connects young parents with older people who want to help families or young mothers with small children
Das ist ja spannend;That is exciting
Ich überlege, ob ich da mal anrufen soll;I'm thinking whether I should call there sometime
