German;English
Ihre Verwandten haben Ihnen geholfen;your relatives helped you
nicht bei den Verwandten gewohnt;did not live with the relatives
Wie war der Anfang;how was the beginning
die erste Zeit;the first period
sehr schwer;very difficult
mit den Ämtern und Behörden;with the offices and authorities
kaum Kontakt zu anderen Leuten;barely any contact with other people
Das ist weit weg;that is far away
nur manchmal;only sometimes
eine schwere Zeit;a difficult time
Darüber;about that
das geschafft;managed that
jetzt geht es uns gut;now we are doing well
aber er verdient gut;but he earns well
geworden;become
dann werde ich krank;then I get sick
immer etwas machen;always do something
helfe gern anderen Menschen;like to help other people
brauche Kontakt mit anderen Menschen;need contact with other people
richtige Arbeit;real work
gibt es nicht viel Russischunterricht;there isn't much Russian instruction
Muttersprache;native language
Unterricht;instruction, lessons
uns gegenseitig;each other
uns Tipps;us tips
auch zusammen zu einem Amt oder einer Behörde;also together to an office or authority
