German;English
erzählen Sie ein bisschen;tell me a bit
kennengelernt;met, got to know
Weltliteratur studiert;studied world literature
für kurze Zeit als Russischlehrerin gearbeitet;worked as a Russian teacher for a short time
eine gute Stelle;a good position
das war nicht möglich;that was not possible
schwierig;difficult
immer schwieriger geworden;become more and more difficult
immer Angst;always afraid
weggehen;to go away, to leave
Verwandte und Freunde in Großbritannien;relatives and friends in Great Britain
entschieden;decided
Ich weiß nicht;I don't know
immer gesagt;always said
mochte Goethe;liked Goethe
Märchen erzählt;told fairy tales
unsere Verwandten;our relatives
geholfen;helped
Deshalb;therefore, that's why
