German;English
Haben Sie den Weg gut gefunden;Did you find the way alright
schon häufiger nach Unna gekommen;have come to Unna quite often
Sie sich für diese Stelle;you are interested in this position
nach der Schule eine Ausbildung als Gesundheits- und Krankenpflegerin gemacht;after school did training as a health and nurse
mehrere Sprachkurse gemacht bis zum Niveau C1;took several language courses up to level C1
Jetzt möchte ich gerne wieder arbeiten;Now I would like to work again
ein großer Pflegeservice, wir betreuen Senioren in Unna, Hamm und Witten;a large care service, we look after seniors in Unna, Hamm and Witten
viele Kunden betreuen;look after many clients
die Arbeit auch sehr stressig sein;the work can also be very stressful
Ist Stress bei der Arbeit ein Problem für Sie;Is stress at work a problem for you
Ich bin sicher, dass ich das schaffe;I am sure that I can do it
beim Pflegedienst Schichtarbeit;shift work at the care service
Haben Sie schon in Schichtarbeit gearbeitet;Have you already worked shifts
noch über das Gehalt sprechen;still need to talk about the salary
dazu kommen noch die Zuschläge für Schichtarbeit und Wochenendarbeit;plus the supplements for shift work and weekend work
dann sind es ungefähr 2400 Euro;then it's about 2400 euros
Das ist mehr als bisher. Das gefällt mir.;That's more than before. I like that.
danke für das Gespräch;thank you for the conversation
Sie hören bald von uns.;You will hear from us soon.
würde mich über eine positive Antwort freuen;would be happy about a positive response



