German;English
Wohnen nach Wunsch;Living as desired
Kommen Sie herein;Come in
Wo fangen wir an;Where shall we start
Ich zeige Ihnen zuerst die Wohnräume;I'll show you the living spaces first
es gut als Wohnzimmer benutzen;to use it well as a living room
ziemlich ruhig;quite quiet
Gibt es viel Verkehr und Lärm;Is there a lot of traffic and noise
nicht das Josefskrankenhaus in der Nähe?;Isn't the Josef Hospital nearby?
Deshalb fahren manchmal Kranken- und Notarztwagen auf der Hauptstraße vorbei;That's why ambulances and emergency doctor vehicles sometimes drive by on the main street
Aber das passiert nicht oft;But that doesn't happen often
meistens ohne Alarmsirene;mostly without sirens
dieses Zimmer ist sicher gut als Schlafzimmer geeignet;this room is certainly well suited as a bedroom
Es ist zwar klein und auch ein bisschen dunkel;It is indeed small and also a bit dark
Das Zimmer kann ich als Arbeitszimmer benutzen;I can use this room as a study
Platz für meinen Schreibtisch und die Bücherregale;Space for my desk and the bookshelves
dass die Wohnung noch nicht renoviert ist;that the apartment has not been renovated yet
über die Wandfarbe und andere Dinge reden;to talk about the wall color and other things
Auch den Boden wollen wir noch erneuern;We also want to replace the floor
Das heißt;That means
die Renovierung nicht selbst machen;not do the renovation yourself
Die Küche gefällt mir;I like the kitchen
Sie bietet viel Platz;it offers plenty of space
Die Einbauküche ist schon ziemlich alt;the fitted kitchen is already quite old
Das ist nicht nötig;that is not necessary
Die Einbauküche lasse ich auswechseln;I will have the fitted kitchen replaced
Das macht eine Küchenfirma;a kitchen company will do that
Die hat schon alles geplant;they have already planned everything
der Einbau;the installation
also bei der Küche nichts mehr selbst machen;so I won't do anything myself on the kitchen anymore





