German;English
seit;since
wann;when
sind verheiratet;(we/they) are married
bin geblieben;(I) stayed, have stayed
bin später nachgekommen;(I) came later, followed later
wichtig;important
habe Deutschkurse gemacht;(I) took German courses
das war anstrengend;that was strenuous, tiring
hat aber auch Spaß gemacht;but it was also fun
habe viele Leute kennengelernt;(I) met many people
BI-Prüfung;(likely) B1 exam (German language exam level)
nicht sofort;not immediately
hier ganz in der Nähe;right here nearby
Sind zufrieden mit Ihrem Leben;Are you satisfied with your life?
Urlaub fliege;(I) fly on vacation / I'm flying on vacation
