German;English
Verkehrsunterricht;traffic lessons, road safety education
erzähl mal;tell me, tell us
Straße laufen;to walk/run in the street
gefährlich;dangerous
darf mit dem Fahrrad;is allowed (to go) with the bicycle
auf dem;on the
Bürgersteig;pavement, sidewalk
weißt du auch;do you also know
warum;why
Er ist zu klein;He is too small
gar nicht klein;not at all small
das;that
stimmt;is correct, true
Erwachsenen;adults (dative/genitive plural)
lieber auf dem Bürgersteig;rather on the sidewalk
ist nicht so gefährlich;is not so dangerous
