German;English
vielleicht;maybe, perhaps
bisschen im Park spazieren gehen;to go for a little walk in the park
Gleich;right away, immediately; same
Gleich hier in der Nähe;right here nearby
ganz einfach finden;to find quite easily
immer geradeaus;straight ahead all the way
bis zur nächsten Kreuzung;until the next intersection
sofort wieder nach links;immediately left again
auf der linken Seite;on the left side
gleich rechts neben;right next to, immediately to the right of
gegenüber;opposite, across from
