German;English
wütend;angry / furious / enraged
verärgert;annoyed / upset / irritated
gepflegt;well-groomed / tidy / cultivated
desinteressiert;uninterested / indifferent / disengaged
nervös;nervous / anxious / edgy
angemessen;appropriate / suitable / adequate
unangemessen;inappropriate / unsuitable / improper
wirken;to seem / to appear / to have an effect
Eine Firma stellt sich vor;a company introduces itself
Unternehmen, das -;company / enterprise / business
Fabrik, die -en;factory / plant
Hauptsitz, der -e;headquarters / main office
bekannt;known / famous / familiar
herstellen;to manufacture / to produce / to make
produzieren;to produce
exportieren;to export
Umsatz, der *-e;revenue / sales / turnover
betragen;to amount to / to total / to be
Markt, der “-e;market
ein ausgezeichneter Ruf;an excellent reputation
Zukunft, die, Sg.;future
optimistisch;optimistic
Betriebsklima, das Sg.;work atmosphere / company climate
wirtschaftlich;economic / economical / financial
kaufmännisch;commercial / business (related)
Mechatroniker/in, der/die,-/-nen;mechatronics technician
Mechaniker/in, der/die,-/-nen;mechanic
Geschäftsführer/in, der/die, -/-nen;managing director / CEO / general manager
Kundenbetreuer/in, der/die,-/-nen;customer service representative / account manager
Auszubildende, der/die -n;trainee / apprentice
Ausbildungsplatz, der “-e;training position / apprenticeship place
ausbilden;to train / to educate / to apprentice
Stellenanzeigen;job advertisements
Stellenanzeige, die -n;job advertisement / job posting
Festanstellung, die -en;permanent employment / full-time position
Sozialleistung, die -en;social benefit / welfare benefit
überdurchschnittlich;above average
Arbeitsatmosphäre, die Sg.;work atmosphere / working environment
attraktiv;attractive / appealing
Richtig bewerben;to apply correctly
Online-Bewerbung, die -en;online application
scannen;to scan
abschicken;to send / to submit / to dispatch
achten (auf);to pay attention (to) / to watch (for)
Bewerbungsmappe, die -n;application folder / job application portfolio
lückenlos;complete / without gaps / unbroken
übersichtlich;clear / well-arranged / organized
versenden;to send / to dispatch
anhängen;to attach
Datei, die -en;file
Kosten sparen;to save costs
Briefmarke, die -n;postage stamp
Absage, die -n;rejection / cancellation / denial
Betreffzeile, die -n;subject line
Formulierung, die -en;wording / phrasing / formulation
der formelle Stil;formal style
Bewerbungstraining, das -s;application training / job application coaching
Stärken, die, Pl.;strengths
Schwächen, die, Pl.;weaknesses
korrigieren;to correct
ausdrucken;to print out
verschicken;to send / to dispatch / to mail
kritisieren;to criticize
unhöflich;rude / impolite
unpassend;inappropriate / unsuitable
sondern;but rather / instead
um ... zu;in order to
anstatt... zu;instead of (doing something)
