German;English
Bach, der, “-e;stream / brook / creek
Tal, das, “-er;valley
Gebirge, das, -;mountain range / mountains
Landschaft, die, -en;landscape / scenery
Landwirtschaft, die, Sg.;agriculture / farming
Klimawandel, der, Sg.;climate change
Umweltschutz, der, Sg.;environmental protection
Trinkwasser, das, Sg.;drinking water
Kohlekraftwerk, das, -e;coal power plant
Strom, der, Sg.;electricity / current / stream
Öl, das, -e;oil
Rohstoff, der, -e;raw material
Umweltproblem, das, -e;environmental problem
Abgase, Pl.;exhaust fumes / emissions
verschmutzen;to pollute / to contaminate
Luftverschmutzung, die, Sg.;air pollution
Verschmutzung, die, Sg.;pollution / contamination
Hochwasser, das, -;flood / high water
giftig;poisonous / toxic
Chemikalie, die, -n;chemical
Lärm, der, Sg.;noise
Mülltrennung, die, Sg.;waste separation / recycling sorting
Verpackungsmüll, der, Sg.;packaging waste
verschwenden;to waste / to squander
recyceln;to recycle
seit, seitdem;since / ever since
gering;low / small / slight
Naturschutzgebiet, das, -e;nature reserve / protected area
Tier- und Pflanzenarten, Pl.;animal and plant species
LED-Lampe, die, -n;LED lamp / LED light
heizen;to heat
abschalten;to turn off / to switch off
unrealistisch;unrealistic
Quatsch, der, Sg.;nonsense / rubbish
Erneuerbare Energien;renewable energy
erneuerbar;renewable
Windenergie, die, Sg.;wind energy
Wasserkraft, die, Sg.;hydropower / water power
lebenswichtig;vital / essential for life
energiesparend;energy-saving
sparsam;economical / frugal / thrifty
Klima, das, Sg.;climate
Kernenergie, die, Sg.;nuclear energy
Kernkraftwerk, das, -e;nuclear power plant
Atommüll, der, Sg.;nuclear waste
schädlich;harmful / damaging
Mülltrennung;waste separation
Abfall, der, “-e;waste / garbage / refuse
Müllentsorgung, die, Sg.;waste disposal
entsorgen;to dispose of
Container, der, -;dumpster / container
Biomüll, der, Sg.;organic waste / biodegradable waste
Restmüll, der, Sg.;residual waste / general waste
Sperrmüll, der, Sg.;bulky waste / bulky trash
Schadstoff, der, -e;pollutant / harmful substance
Batterie, die, -n;battery
Akku, der, -s;rechargeable battery
Babywindel, die, -n;baby diaper
Matratze, die, -n;mattress
Schaf, das, -e;sheep
Kuh, die, “-e;cow
Pferd, das, -e;horse
Huhn, das, “-er;chicken
Vogel, der, “-;bird
Schwein, das, -e;pig
streicheln;to pet / to stroke
reiten;to ride (horse)
klug;clever / smart / intelligent
feige;cowardly
mutig;brave / courageous
faul;lazy
wild;wild
bescheiden;modest / humble
scheu;shy / timid
neugierig;curious
lieb;sweet / kind / dear
treu;loyal / faithful
