German;English
wahrscheinlich;probably / likely
Lebensläufe;resumes / CVs / life paths
Promi-Lexikon, das, -Lexika;celebrity encyclopedia
Ausgabe, die, -n;edition / issue / release
Preisverleihung, die, -en;award ceremony
gehören (zu);to belong (to) / to be part (of)
Sänger/in, der/die, -/-nen;singer
als (Konjunktion);as / when / than
auswandern;to emigrate
Musicaldarsteller/in, der/die,;musical performer
Auftritt, der, -e;performance / appearance / act
Theaterproduktion, die, -en;theater production
Musical, das, -s;musical
Demo-CD, die, -s;demo CD
Künstlermanager/in,der/die, -/-nen;artist manager
veröffentlichen;to publish / to release
Album, das, Alben;album
unendlich;infinite / endless
erreichen;to reach / to achieve / to attain
Fernsehserie, die, -n;TV series
folgen;to follow
Fernsehauftritt, der, -e;TV appearance
Moderator/in, der/die, -en/-nen;host / presenter
Fan, der, -s;fan
Konzerttour, die, -en;concert tour
Musikpreis, der, -e;music award
Hit, der, -s;hit (song)
Schauspieler/in, der/die -/-nen;actor / actress
Lebensjahr, das, -e;year of life / age
bis (Konj.);until / by / up to
Rockband, die, -s;rock band
Leadsänger/in, der/die,-/-nen;lead singer
Theater, das, -;theater
Kommissar/in, der/die,-e/-nen;commissioner / detective inspector
autobiografisch;autobiographical
Erzählung, die, -en;story / narrative / tale
Kriegswaise, der/die, -n;war orphan
ehemalig;former / ex-
Sportlehrer/in, der/die,-/-nen;sports teacher / PE teacher
Talent, das, -e;talent
wenn;if / when
Zeitgeschichte, die, Sg.;contemporary history
Tempo, das, Sg.;speed / pace / tempo
Autoproduktion, die, -en;car production
vor allem;above all / especially
ca. (= circa);approximately / about
Straßenverkehr, der, Sg.;road traffic
Pkw, der, -s;car / passenger vehicle
Volk, das, “-er;people / nation
Motorradfahrer/in, der/die, -/-nen;motorcyclist
Autofahrer/in, der/die, -/-nen;car driver
staunen;to marvel / to be amazed / to wonder
besonders;especially / particularly / special
aufstellen;to set up / to place / to establish
Autoverkehr, der, Sg.;car traffic
zunehmen;to increase / to gain
steigen;to rise / to climb / to increase
Verkehrsunfall, der, “-e;traffic accident
sterben;to die
Krieg, der, -e;war
Zeppelin, der, -e;zeppelin
Luftschiff, das, -e;airship
Flugzeugverkehr, der, Sg.;air traffic
Passagier/in, der/die, -e/-nen;passenger
Passagierflugzeug, das, -e;passenger airplane
Stummfilm, der, -e;silent film
Strecke, die, -n;distance / route / stretch
Flugschiff, das, -e;flying boat / airship
beeindruckend;impressive
bereits;already
Aussicht, die, (hier:) Sg.;view / prospect / outlook
Champagner, der, -;champagne
Zeitzeugen;contemporary witnesses
Zeitzeuge/Zeitzeugin,der/die, -n/-nen;contemporary witness (eyewitness to history)
zerstören;to destroy
klettern;to climb
sich erinnern;to remember / to recall
Lehrling, der, -e;apprentice / trainee
frieren;to freeze / to be cold
mehrmals;several times / repeatedly
reif;ripe / mature
Ernte, die, -n;harvest
Fischer/in, der/die, -/-nen;fisherman / fisher
